Date,Time,Board,Scope,Legato,Debug level,Process name,Process ID,Process Thread,Process Symbol,Exec File Name,Func name,Thread ID,Message
Mar/4,14:57:56,swi-mdm9x28-wp,user.info,Legato:,INFO,mdcUnitTest,3140,mdcUnitTest,T=main,pa_sim_simu.c,pa_simSimu_Init(),1260, PA SIM Init
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=main,le_sim.c,le_sim_Init(),1426, SIM 1 is selected.
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=main,le_mdc.c,GetDataCounterState(),886, Retrieved data counter activation state: 1
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=main,le_mdc.c,GetDataCounters(),934," Saved rxBytes=0, txBytes=0"
Mar/4,14:57:56,swi-mdm9x28-wp,user.info,Legato:,INFO,mdcUnitTest,3140,mdcUnitTest,T=TestThread,main.c,TestThread(),1036, ======== Start UnitTest of MDC API ========
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x1c1 created for index 1
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x3c1 created for index 2
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x5c1 created for index 3
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x7c1 created for index 4
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x9c1 created for index 5
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x1c1 created for index 1
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,NewSessionStateHandler(),298," profileIndex 1, old connection status -1, new state 2, pdp Type 0"
Mar/4,14:57:56,swi-mdm9x28-wp,user.err,Legato:,=ERR=,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,le_mdc_SetAPN(),2363, Failed to set APN on profile at index 1 with a connected session
Mar/4,14:57:56,swi-mdm9x28-wp,user.err,Legato:,=ERR=,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,le_mdc_SetAuthentication(),2585, Failed to set authentication on profile at index 1 with a connected session
Mar/4,14:57:56,swi-mdm9x28-wp,user.err,Legato:,=ERR=,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,le_mdc_SetPDP(),2233, Failed to set PDP on profile at index 1 with a connected session
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x3c1 created for index 2
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x5c1 created for index 3
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x7c1 created for index 4
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,CreateModemProfile(),411, profileRef 0x9c1 created for index 5
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,le_mdc_GetBytesCounters(),2089," Received and transmitted bytes: rx=0, tx=0"
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,SetDataCounters(),960," Saved rxBytes=0, txBytes=0"
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_mdc.c,NewSessionStateHandler(),298," profileIndex 1, old connection status 2, new state 0, pdp Type 0"
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,pa_sim_simu.c,pa_simSimu_ReportSIMState(),254, Report SIM state 2
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_sim.c,NewSimStateHandler(),948, New SIM state.2 for sim identifier.1 (eventPtr 0xb5b01d00)
Mar/4,14:57:56,swi-mdm9x28-wp,user.info,Legato:,INFO,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_sim.c,NewSimStateHandler(),960, NewSimStateHandler: Current Selected SIM ID=1
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=TestThread,le_sim.c,NewSimStateHandler(),990, Report state 2 on SIM Id 1
Mar/4,14:57:56,swi-mdm9x28-wp,user.info,Legato:,INFO,mdcUnitTest,3140,mdcUnitTest,T=main,le_sim.c,SimToolkitHandler(),1048, Update SIM Card information after a refresh
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=main,le_sim.c,SimToolkitHandler(),1082, Report STK event 1 on SIM 1
Mar/4,14:57:56,swi-mdm9x28-wp,user.debug,Legato:,DBUG,mdcUnitTest,3140,mdcUnitTest,T=main,le_sim.c,FirstLayerSimToolkitHandler(),1011, Report STK event 1 on SIM 1
