Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/rf/sierra_rf.lib/rfant.o,1372,305,21,12,1710,2,16
modem_proc/sierra/rf/sierra_rf.lib/rftask.o,432,237,0,352,1021,3,5
modem_proc/sierra/rf/sierra_rf.lib/rfpwr.o,1008,352,0,0,1360,0,3
modem_proc/sierra/rf/sierra_rf.lib/rfsar.o,1168,214,0,16,1398,3,3
modem_proc/sierra/rf/sierra_rf.lib/rfsar_cdma.o,832,219,0,0,1051,1,4
modem_proc/sierra/rf/sierra_rf.lib/rfsar_gsm.o,792,64,0,0,856,0,8
modem_proc/sierra/rf/sierra_rf.lib/rfsar_lte.o,2220,1208,0,0,3428,2,8
modem_proc/sierra/rf/sierra_rf.lib/rfsar_wcdma.o,1008,440,0,0,1448,0,10
modem_proc/sierra/rf/sierra_rf.lib/rftherm.o,196,108,0,0,304,0,6
modem_proc/sierra/rf/sierra_rf.lib/rfuser.o,1656,105,0,56,1817,0,10
modem_proc/sierra/sc/sierra_sc.lib/sctask.o,916,504,3,752,2175,7,11
modem_proc/sierra/sc/sierra_sc.lib/scnet.o,6168,1434,0,528,8130,9,100
modem_proc/sierra/sc/sierra_sc.lib/scuser.o,916,180,0,0,1096,0,14
modem_proc/sierra/sc/sierra_sc.lib/scsession.o,1416,352,0,96,1864,2,26
modem_proc/sierra/sc/sierra_sc.lib/scprofile.o,2176,633,0,24,2833,1,52
modem_proc/sierra/sl/sierra_sl.lib/sluser.o,5212,264,24,0,5500,0,5
modem_proc/sierra/sl/sierra_sl.lib/slvsprintf.o,48,0,0,0,48,0,0
modem_proc/sierra/sm/sierra_sm.lib/sm.o,200,195,0,0,395,3,3
modem_proc/sierra/sntp/sierra_sntp.lib/sntp_task.o,1520,463,0,360,2343,3,27
modem_proc/sierra/so/sierra_so.lib/sotask.o,10644,5481,8,15624,31757,50,187
modem_proc/sierra/so/sierra_so.lib/souser.o,7280,2809,0,0,10089,36,122
modem_proc/sierra/sp/sierra_sp.lib/spdecrypt.o,240,0,0,0,240,0,0
modem_proc/sierra/sp/sierra_sp.lib/spencrypt.o,264,62,0,0,326,1,0
modem_proc/sierra/sp/sierra_sp.lib/spcommon.o,372,0,5,256,633,0,0
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_user.o,796,40,0,0,836,0,5
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_utils.o,520,48,0,0,568,0,6
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_bscommon.o,80,8,0,8,96,0,1
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_modem.o,44,0,0,16,60,0,0
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_core.o,908,56,0,24,988,0,7
modem_proc/sierra/su/sierra_su.lib/suuser.o,352,59,0,56,467,1,1
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_backup.o,1256,677,0,8,1941,9,20
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_modem.o,2460,1144,0,0,3604,6,44
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_slot.o,716,187,0,2,905,2,7
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_user.o,3244,1424,12,4103,8783,20,35
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_fota.o,1436,1126,0,23,2585,3,46
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_nas.o,5504,2525,16,80,8125,16,111
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_dms.o,8644,2604,0,0,11248,22,129
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_dms_im.o,1848,558,0,0,2406,3,25
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_wake.o,2448,926,156,48168,51698,14,30
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_wds.o,5088,1285,0,1064,7437,14,44
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_if.o,684,344,12,4,1044,6,2
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_omadm.o,3888,1557,56,196,5697,19,44
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_sar.o,1704,708,32,64,2508,6,27
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_loc.o,1784,673,16,280,2753,8,20
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_swidms.o,2156,761,72,280,3269,9,34
modem_proc/sierra/ud/sierra_ud_modem.lib/uduser.o,1224,171,16,8,1419,1,14
modem_proc/sierra/ud/sierra_ud_modem.lib/uduser_modem.o,984,207,0,0,1191,1,1
modem_proc/sierra/ud/sierra_ud_modem.lib/ud_qapi_modem.o,12,0,1,0,13,0,0
modem_proc/sierra/ud/sierra_ud_modem.lib/ud_descriptor.o,0,380,0,0,380,0,0
