Cycle,Stree_A,PriorityLampA,Stree_B,PriorityLampB
          0,4,0,1,1
          1,1,1,1,1
          2,1,1,1,1
          3,1,1,1,1
          4,1,1,1,1
          5,1,1,1,1
          6,1,1,1,1
          7,1,1,4,0
          8,1,1,4,0
          9,1,1,4,0
         10,1,1,4,0
         11,1,1,4,0
         12,1,1,4,0
         13,1,1,4,0
         14,1,1,4,0
         15,1,1,4,0
         16,1,1,4,0
         17,1,1,4,0
         18,1,1,4,0
         19,1,1,4,0
         20,1,1,4,0
         21,1,1,4,0
         22,1,1,4,0
         23,1,1,4,0
         24,1,1,4,0
         25,1,1,4,0
         26,1,1,4,0
         27,1,1,4,0
         28,1,1,4,0
         29,1,1,4,0
         30,1,1,4,0
         31,1,1,4,0
         32,1,1,4,0
         33,1,1,4,0
         34,1,1,4,0
         35,1,1,4,0
         36,1,1,4,0
         37,1,1,4,0
         38,1,1,4,0
         39,1,1,2,0
         40,1,1,2,0
         41,1,1,2,0
         42,1,1,2,0
         43,1,1,2,0
         44,1,1,2,0
         45,1,1,2,0
         46,1,1,2,0
         47,1,1,2,0
         48,1,1,2,0
         49,1,1,2,0
         50,1,1,2,0
         51,1,1,1,1
         52,1,1,1,1
         53,1,1,1,1
         54,1,1,1,1
         55,1,1,1,1
         56,1,1,1,1
         57,4,0,1,1
         58,4,0,1,1
         59,4,0,1,1
         60,4,0,1,1
         61,4,0,1,1
         62,4,0,1,1
         63,4,0,1,1
         64,4,0,1,1
         65,4,0,1,1
         66,4,0,1,1
         67,4,0,1,1
         68,4,0,1,1
         69,4,0,1,1
         70,4,0,1,1
         71,4,0,1,1
         72,4,0,1,1
         73,4,0,1,1
         74,4,0,1,1
         75,4,0,1,1
         76,4,0,1,1
         77,4,0,1,1
         78,4,0,1,1
         79,4,0,1,1
         80,4,0,1,1
         81,4,0,1,1
         82,4,0,1,1
         83,4,0,1,1
         84,4,0,1,1
         85,4,0,1,1
         86,4,0,1,1
         87,4,0,1,1
         88,4,0,1,1
         89,2,0,1,1
         90,2,0,1,1
         91,2,0,1,1
         92,2,0,1,1
         93,2,0,1,1
         94,2,0,1,1
         95,2,0,1,1
         96,2,0,1,1
         97,2,0,1,1
         98,2,0,1,1
         99,2,0,1,1
        100,2,0,1,1
        101,1,1,1,1
        102,1,1,1,1
        103,1,1,1,1
        104,1,1,1,1
        105,1,1,1,1
        106,1,1,1,1
        107,1,1,4,0
        108,1,1,4,0
        109,1,1,4,0
        110,1,1,4,0
        111,1,1,4,0
        112,1,1,4,0
        113,1,1,4,0
        114,1,1,4,0
        115,1,1,4,0
        116,1,1,4,0
        117,1,1,4,0
        118,1,1,4,0
        119,1,1,4,0
        120,1,1,4,0
        121,1,1,4,0
        122,1,1,4,0
        123,1,1,4,0
        124,1,1,4,0
        125,1,1,4,0
        126,1,1,4,0
        127,1,1,4,0
        128,1,1,4,0
        129,1,1,4,0
        130,1,1,4,0
        131,1,1,4,0
        132,1,1,4,0
        133,1,1,4,0
        134,1,1,4,0
        135,1,1,4,0
        136,1,1,4,0
        137,1,1,4,0
        138,1,1,4,0
        139,1,1,2,0
        140,1,1,2,0
        141,1,1,2,0
        142,1,1,2,0
        143,1,1,2,0
        144,1,1,2,0
        145,1,1,2,0
        146,1,1,2,0
        147,1,1,2,0
        148,1,1,2,0
        149,1,1,2,0
        150,1,1,2,0
        151,1,1,1,1
        152,1,1,1,1
        153,1,1,1,1
        154,1,1,1,1
        155,1,1,1,1
        156,1,1,1,1
        157,4,0,1,1
        158,4,0,1,1
        159,4,0,1,1
        160,4,0,1,1
        161,4,0,1,1
        162,4,0,1,1
        163,4,0,1,1
        164,4,0,1,1
        165,4,0,1,1
        166,4,0,1,1
        167,4,0,1,1
        168,4,0,1,1
        169,4,0,1,1
        170,4,0,1,1
        171,4,0,1,1
        172,4,0,1,1
        173,4,0,1,1
        174,4,0,1,1
        175,4,0,1,1
        176,4,0,1,1
        177,4,0,1,1
        178,4,0,1,1
        179,4,0,1,1
        180,4,0,1,1
        181,4,0,1,1
        182,4,0,1,1
        183,4,0,1,1
        184,4,0,1,1
        185,4,0,1,1
        186,4,0,1,1
        187,4,0,1,1
        188,4,0,1,1
